AFGHANISTAN,,,,,,
Inbound tourism,,,,,,
COMOROS,,,,,,
Inbound tourism,,,,,,
Arrivals - Thousands,15,11,15,19,..,..
Tourism expenditure in the country - US$ Mn,37,32,35,42,..,..
Travel - US$ Mn,..,..,..,..,..,..
Passenger transport - US$ Mn,..,..,..,..,..,..
Outbound tourism,,,,,,
Departures - Thousands,..,..,..,..,..,..
Tourism expenditure in other countries - US$ Mn,15,17,19,20,..,..
Travel - US$ Mn,..,..,..,..,..,..
Passenger transport - US$ Mn,..,..,..,..,..,..
CONGO,,,,,,
Inbound tourism,,,,,,
Arrivals - Thousands,..,..,199,224,260,305
Arrivals - Thousands,62,94,194,218,257,297
Tourism expenditure in the country - US$ Mn,..,..,..,..,..,..
Travel - US$ Mn,..,..,..,..,..,..
Passenger transport - US$ Mn,..,..,..,..,..,..
Outbound tourism,,,,,,
Departures - Thousands,..,..,..,..,161,180
Tourism expenditure in other countries - US$ Mn,..,..,..,..,..,..
Travel - US$ Mn,..,..,..,..,..,..
Passenger transport - US$ Mn,..,..,..,..,..,..
COOK ISLANDS,,,,,,
Inbound tourism,,,,,,
Arrivals - Thousands,95,101,104,113,122,121
Tourism expenditure in the country - US$ Mn,105,103,110,..,..,..
Travel - US$ Mn,..,..,..,..,..,..
Passenger transport - US$ Mn,..,..,..,..,..,..
Outbound tourism,,,,,,
Departures - Thousands,13,12,12,13,12,12
Tourism expenditure in other countries - US$ Mn,..,..,..,..,..,..
Travel - US$ Mn,..,..,..,..,..,..
Passenger transport - US$ Mn,..,..,..,..,..,..
COSTA RICA,,,,,,
Inbound tourism,,,,,,
Arrivals - Thousands,"2,089","1,923","2,100","2,192","2,343","2,428"
Tourism expenditure in the country - US$ Mn,"2,533","2,001","2,179","2,375","2,543","2,829"
Travel - US$ Mn,"2,283","1,815","1,999","2,152","2,299","2,586"
Passenger transport - US$ Mn,250,186,180,223,244,243
Outbound tourism,,,,,,
Departures - Thousands,528,579,662,717,773,790
Tourism expenditure in other countries - US$ Mn,718,462,533,522,567,571
Travel - US$ Mn,593,367,424,405,429,450
Passenger transport - US$ Mn,125,95,109,117,138,121
COTE D'IVOIRE,,,,,,
Inbound tourism,,,,,,
Arrivals - Thousands,205,231,252,270,289,..
Arrivals - Thousands,..,..,..,..,..,..
Tourism expenditure in the country - US$ Mn,129,164,213,..,..,..
Travel - US$ Mn,116,151,201,..,..,..
Passenger transport - US$ Mn,13,13,12,..,..,..
Outbound tourism,,,,,,
Departures - Thousands,..,..,..,..,..,..
Tourism expenditure in other countries - US$ Mn,612,589,569,..,..,..
